split,file,lpips
train,10888.tif,0.331412
train,10889.tif,0.376517
train,1089.tif,0.313471
train,10890.tif,0.262673
train,10891.tif,0.31651
train,10892.tif,0.377347
train,10893.tif,0.337515
train,10894.tif,0.321689
train,10895.tif,0.299699
train,10896.tif,0.281456
train,10897.tif,0.43013
train,10898.tif,0.301981
train,10899.tif,0.322583
train,109.tif,0.427941
train,1090.tif,0.362461
train,10900.tif,0.310985
train,10901.tif,0.371966
train,10902.tif,0.299792
train,10903.tif,0.33269
train,10904.tif,0.295075
train,10905.tif,0.321754
train,10906.tif,0.2658
train,10907.tif,0.297441
train,10908.tif,0.328794
train,10909.tif,0.292363
train,1091.tif,0.410734
train,10910.tif,0.332045
train,10911.tif,0.35246
train,10912.tif,0.294194
train,10913.tif,0.360829
train,10914.tif,0.346617
train,10915.tif,0.338419
train,10916.tif,0.294483
train,10917.tif,0.331303
train,10918.tif,0.317582
train,10919.tif,0.365566
train,1092.tif,0.407318
train,10920.tif,0.355514
train,10921.tif,0.315375
train,10922.tif,0.359647
train,10923.tif,0.318416
train,10924.tif,0.387996
train,10925.tif,0.291686
train,10926.tif,0.320877
train,10927.tif,0.411162
train,10928.tif,0.416576
train,10929.tif,0.440534
train,1093.tif,0.405278
train,10930.tif,0.372527
train,10931.tif,0.324516
train,10932.tif,0.403401
train,10933.tif,0.288803
train,10934.tif,0.389513
train,10935.tif,0.3463
train,10936.tif,0.315704
train,10937.tif,0.33168
train,10938.tif,0.39012
train,10939.tif,0.316802
train,1094.tif,0.391713
train,10940.tif,0.323694
train,10941.tif,0.301356
train,10942.tif,0.302565
train,10943.tif,0.335515
train,10944.tif,0.315468
train,10945.tif,0.409757
train,10946.tif,0.384684
train,10947.tif,0.411342
train,10948.tif,0.307582
train,10949.tif,0.315036
train,1095.tif,0.309796
train,10950.tif,0.334102
train,10951.tif,0.34887
train,10952.tif,0.326152
train,10953.tif,0.332573
train,10954.tif,0.349171
train,10955.tif,0.317748
train,10956.tif,0.386106
train,10957.tif,0.368255
train,10958.tif,0.313688
train,10959.tif,0.278624
train,1096.tif,0.363447
train,10960.tif,0.304513
train,10961.tif,0.320607
train,10962.tif,0.292002
train,10963.tif,0.329407
