split,file,ssim,psnr
train,10653.tif,0.657615,21.1823
train,10654.tif,0.519239,20.083
train,10655.tif,0.517704,16.8059
train,10656.tif,0.59655,18.6965
train,10657.tif,0.563051,19.2565
train,10658.tif,0.717372,21.989
train,10659.tif,0.559121,19.9184
train,1066.tif,0.728001,22.4343
train,10660.tif,0.525364,19.5313
train,10661.tif,0.54953,20.0409
train,10662.tif,0.531552,19.2292
train,10663.tif,0.710606,22.0088
train,10664.tif,0.543981,20.435
train,10665.tif,0.55737,19.1712
train,10666.tif,0.684297,20.9712
train,10667.tif,0.561458,18.5447
train,10668.tif,0.552876,20.0362
train,10669.tif,0.507458,19.5775
train,1067.tif,0.443837,17.7679
train,10670.tif,0.600506,19.0045
train,10671.tif,0.609741,19.8648
train,10672.tif,0.65492,22.4183
train,10673.tif,0.647994,20.9532
train,10674.tif,0.620145,19.7478
train,10675.tif,0.63351,21.7497
train,10676.tif,0.811938,22.9705
train,10677.tif,0.604334,19.998
train,10678.tif,0.516445,18.2613
train,10679.tif,0.575715,20.1746
train,1068.tif,0.517328,17.3868
train,10680.tif,0.594952,21.2273
train,10681.tif,0.589398,20.583
train,10682.tif,0.648326,19.4886
train,10683.tif,0.597923,21.6899
train,10684.tif,0.631352,19.4232
train,10685.tif,0.547256,18.5846
train,10686.tif,0.476684,18.1602
train,10687.tif,0.539896,20.1694
train,10688.tif,0.601523,21.1468
train,10689.tif,0.688172,18.9819
train,1069.tif,0.449035,17.461
train,10690.tif,0.565173,19.5675
train,10691.tif,0.658326,20.9354
train,10692.tif,0.661217,20.0852
train,10693.tif,0.601307,21.4866
train,10694.tif,0.586668,16.2281
train,10695.tif,0.611481,20.6113
train,10696.tif,0.568861,19.3594
train,10697.tif,0.63135,20.9081
