split,file,ssim,psnr,lpips
train,10354.tif,0.226857,18.4455,0.537076
train,10355.tif,0.585285,21.6016,0.280235
train,10356.tif,0.730454,24.7366,0.229124
train,10357.tif,0.720729,24.0064,0.217625
train,10358.tif,0.639718,23.1851,0.248007
train,10359.tif,0.537117,20.5228,0.365007
train,1036.tif,0.568434,20.2154,0.275681
train,10360.tif,0.54829,23.1121,0.250705
train,10361.tif,0.540113,20.5326,0.248751
train,10362.tif,0.6902,24.2103,0.226891
train,10363.tif,0.624544,23.1636,0.244295
train,10364.tif,0.622545,23.4929,0.26999
train,10365.tif,0.710413,24.1275,0.236956
train,10366.tif,0.505944,20.1314,0.333019
train,10367.tif,0.628338,23.201,0.278338
train,10368.tif,0.481298,18.0466,0.250983
train,10369.tif,0.557584,21.2559,0.264859
train,1037.tif,0.66798,22.5978,0.279626
train,10370.tif,0.675934,22.8757,0.248507
train,10371.tif,0.682846,22.8018,0.214177
train,10372.tif,0.657747,21.4584,0.24492
train,10373.tif,0.636244,23.0416,0.234696
train,10374.tif,0.674391,21.841,0.220726
train,10375.tif,0.671156,21.877,0.233626
train,10376.tif,0.614974,23.4937,0.267296
train,10377.tif,0.625705,22.0925,0.20793
train,10378.tif,0.627068,23.5679,0.222198
train,10379.tif,0.56582,19.3202,0.31593
train,1038.tif,0.640598,23.1102,0.284166
train,10380.tif,0.415358,19.6617,0.26604
train,10381.tif,0.590191,22.1286,0.230048
train,10382.tif,0.466611,20.3801,0.243722
train,10383.tif,0.515171,20.9253,0.267291
train,10384.tif,0.686368,21.5285,0.245433
train,10385.tif,0.552432,21.7168,0.220126
train,10386.tif,0.701314,22.674,0.24266
train,10387.tif,0.569159,22.8953,0.300312
train,10388.tif,0.621407,22.9095,0.250686
train,10389.tif,0.377878,19.9154,0.308164
train,1039.tif,0.607898,21.8559,0.263771
train,10390.tif,0.491998,20.6878,0.269939
train,10391.tif,0.571402,22.1956,0.280033
train,10392.tif,0.561605,21.4961,0.289058
train,10393.tif,0.619139,22.6174,0.248432
train,10394.tif,0.599395,22.9584,0.252816
train,10395.tif,0.53898,21.5808,0.27808
train,10396.tif,0.633575,22.8245,0.245941
train,10397.tif,0.615522,22.8707,0.259685
train,10398.tif,0.669755,22.8392,0.239516
train,10399.tif,0.676824,22.5952,0.214475
train,104.tif,0.591298,20.3258,0.255825
train,1040.tif,0.535387,18.3608,0.272492
train,10400.tif,0.571044,20.3662,0.30585
train,10401.tif,0.66758,22.912,0.23969
train,10402.tif,0.585055,20.2925,0.352202
train,10403.tif,0.56243,21.2925,0.263178
train,10404.tif,0.639038,22.9854,0.266886
train,10405.tif,0.56144,20.4496,0.27785
train,10406.tif,0.580376,22.0769,0.211877
train,10407.tif,0.647944,22.0582,0.236301
train,10408.tif,0.68671,24.3027,0.234426
train,10409.tif,0.731888,24.5745,0.234122
train,1041.tif,0.5937,21.9021,0.303631
train,10410.tif,0.539261,21.3644,0.234453
train,10411.tif,0.784347,23.9996,0.281568
train,10412.tif,0.626093,22.1864,0.285184
train,10413.tif,0.70381,23.8666,0.223867
train,10414.tif,0.682349,24.9689,0.240653
train,10415.tif,0.619172,22.9778,0.246467
train,10416.tif,0.576347,22.7666,0.24593
train,10417.tif,0.676232,24.1682,0.238096
train,10418.tif,0.605351,21.9175,0.291385
train,10419.tif,0.501985,20.0662,0.319499
train,1042.tif,0.499728,21.5339,0.328276
train,10420.tif,0.443633,19.5438,0.26304
train,10421.tif,0.739343,22.4818,0.220942
train,10422.tif,0.681467,22.5895,0.242959
train,10423.tif,0.528901,19.6699,0.366422
train,10424.tif,0.588049,22.3869,0.248361
train,10425.tif,0.460731,20.7233,0.256452
train,10426.tif,0.605512,23.4385,0.261476
train,10427.tif,0.594457,20.9631,0.244953
train,10428.tif,0.678014,23.4238,0.243167
train,10429.tif,0.670956,23.3072,0.234231
train,1043.tif,0.613797,19.6288,0.260934
train,10430.tif,0.579208,21.4189,0.244291
train,10431.tif,0.511163,20.0228,0.264336
train,10432.tif,0.69446,22.3154,0.215948
train,10433.tif,0.48157,19.2162,0.272305
train,10434.tif,0.697397,22.1188,0.231337
train,10435.tif,0.555146,21.5648,0.257458
train,10436.tif,0.488361,19.2971,0.300524
train,10437.tif,0.495524,19.9558,0.295788
train,10438.tif,0.5679,21.6809,0.247852
train,10439.tif,0.684551,23.6647,0.255404
train,1044.tif,0.52274,20.999,0.358741
train,10440.tif,0.557732,21.6037,0.250803
train,10441.tif,0.511382,19.4175,0.329462
train,10442.tif,0.604548,23.367,0.26597
train,10443.tif,0.613069,20.2565,0.32631
train,10444.tif,0.510613,21.4814,0.270259
train,10445.tif,0.704273,24.6255,0.33255
train,10446.tif,0.57966,22.5823,0.288925
train,10447.tif,0.693797,24.0215,0.208297
train,10448.tif,0.502026,20.6891,0.299266
train,10449.tif,0.610167,23.6194,0.258055
train,1045.tif,0.492369,17.1117,0.311668
train,10450.tif,0.580181,22.0111,0.273044
train,10451.tif,0.499225,21.4345,0.277683
train,10452.tif,0.587521,21.7087,0.2596
train,10453.tif,0.659934,23.8356,0.249132
train,10454.tif,0.532562,21.3331,0.232405
train,10455.tif,0.611796,23.1994,0.272248
train,10456.tif,0.718143,24.1957,0.1958
train,10457.tif,0.592033,21.3913,0.287853
train,10458.tif,0.603427,22.2699,0.265317
train,10459.tif,0.695451,22.8142,0.229267
train,1046.tif,0.728572,23.5079,0.214401
train,10460.tif,0.743905,22.8882,0.27883
train,10461.tif,0.545665,20.8838,0.240589
train,10462.tif,0.601012,22.792,0.269944
train,10463.tif,0.607022,23.102,0.271141
train,10464.tif,0.567412,24.1713,0.279294
train,10465.tif,0.610885,23.0603,0.266525
train,10466.tif,0.686043,21.956,0.255809
train,10467.tif,0.63843,23.5782,0.242819
train,10468.tif,0.439577,19.7873,0.278508
train,10469.tif,0.67364,23.7444,0.221976
train,1047.tif,0.51089,20.6248,0.338743
train,10470.tif,0.576852,20.7587,0.258705
train,10471.tif,0.505757,20.0856,0.279239
train,10472.tif,0.629815,22.1719,0.26915
train,10473.tif,0.540253,21.1813,0.25685
train,10474.tif,0.643777,23.9839,0.252804
train,10475.tif,0.676561,22.6566,0.22299
train,10476.tif,0.564939,21.4669,0.245098
train,10477.tif,0.571539,20.1424,0.253302
train,10478.tif,0.506748,20.3096,0.278006
train,10479.tif,0.601229,22.6345,0.245958
train,1048.tif,0.522559,21.2693,0.29693
train,10480.tif,0.495732,19.5834,0.283018
train,10481.tif,0.575509,21.4214,0.272997
train,10482.tif,0.576269,21.04,0.295169
train,10483.tif,0.606222,22.7339,0.268995
train,10484.tif,0.606518,22.1133,0.269742
train,10485.tif,0.631394,23.588,0.232896
train,10486.tif,0.61446,23.3936,0.276733
train,10487.tif,0.658718,23.3622,0.272798
train,10488.tif,0.660485,23.0736,0.215521
train,10489.tif,0.656191,21.0007,0.26383
train,1049.tif,0.499512,20.999,0.279995
train,10490.tif,0.637656,24.3899,0.287071
train,10491.tif,0.538113,21.1915,0.247396
train,10492.tif,0.547633,22.179,0.30925
train,10493.tif,0.556339,20.613,0.266688
train,10494.tif,0.558836,20.8615,0.251524
train,10495.tif,0.603543,21.6109,0.293968
train,10496.tif,0.700348,24.4466,0.232283
train,10497.tif,0.621022,21.4022,0.252315
train,10498.tif,0.70912,24.0837,0.232068
train,10499.tif,0.70255,23.6303,0.223385
train,105.tif,0.573107,20.9864,0.282539
train,1050.tif,0.531234,19.4779,0.271135
train,10500.tif,0.656283,22.6021,0.240831
